id,title,year,venue,authors
conf/sigmod/NguyenACP01, Monitoring XML Data on the Web,2001,SIGMOD Conference,Benjamin Nguyen  Serge Abiteboul  Gregory Cobena  Mihai Preda
conf/sigmod/ChaudhuriDY95, Join Queries with External Text Sources: Execution and Optimization Techniques,1995,SIGMOD Conference,Umeshwar Dayal  Surajit Chaudhuri  Tak W. Yan
conf/vldb/LuSL95, NeuroRule: A Connectionist Approach to Data Mining,1995,VLDB,Hongjun Lu  Huan Liu  Rudy Setiono
journals/sigmod/Snodgrass98, Chair's Message,1998,SIGMOD Record,Richard T. Snodgrass
journals/sigmod/Widom95, Editor's Notes,1995,SIGMOD Record,Jennifer Widom
conf/vldb/DarmontS99, VOODB: A Generic Discrete-Event Random Simulation Model To Evaluate the Performances of OODBs,1999,VLDB,Michel Schneider  J�r�me Darmont
conf/sigmod/SzalayGTKMRSv02, The SDSS skyserver: public access to the sloan digital sky server data,2002,SIGMOD Conference,Tanu Malik  Jordan Raddick  Alexander S. Szalay  Peter Z. Kunszt  Jim Gray  Christopher Stoughton  Ani Thakar  Jan vandenBerg
conf/vldb/Schek00, Panel: Future Directions of Database Research - The VLDB Broadening Strategy  Part 1,2000,VLDB,Hans-J�rg Schek
conf/sigmod/ClaypoolRZSK01, Gangam - A Solution to Support Multiple Data Models  their Mappings and Maintenance,2001,SIGMOD Conference,Elke A. Rundensteiner  Gail Mitchell  Wang-Chien Lee  Harumi A. Kuno  Xin Zhang  Hong Su  Kajal T. Claypool
journals/vldb/KnorrNT00, Distance-Based Outliers: Algorithms and Applications,2000,VLDB J.,V. Tucakov  Raymond T. Ng  Edwin M. Knorr
journals/sigmod/Ahlberg96, Spotfire: An Information Exploration Environment,1996,SIGMOD Record,Christopher Ahlberg
conf/vldb/NaumannLF99, Quality-driven Integration of Heterogenous Information Systems,1999,VLDB,Johann Christoph Freytag  Felix Naumann  Ulf Leser
conf/vldb/Sol01, Ambient Intelligence with the Ubiquitous Network  the Embedded Computer Devices and the Hidden Databases (abstract),2001,VLDB,Egbert-Jan Sol
conf/sigmod/FaloutsosSTT00, Spatial Join Selectivity Using Power Laws,2000,SIGMOD Conference,Christos Faloutsos  Bernhard Seeger  Caetano Traina Jr.  Agma J. M. Traina
conf/sigmod/Fernandez94, Red Brick Warehouse: A Read-Mostly RDBMS for Open SMP Platforms,1994,SIGMOD Conference,Phillip M. Fernandez
journals/sigmod/SegevJS95, Report on The 1995 International Workshop on Temporal Databases,1995,SIGMOD Record,Arie Segev  Richard T. Snodgrass  Christian S. Jensen
journals/sigmod/DogacAOD95, Implementation Aspects of an Object-Oriented DBMS,1995,SIGMOD Record,Ilker Durusoy  Cetin Ozkan  Mehmet Altinel  Asuman Dogac
