S000001774,S000003333,Cellular Component: 0.333031456457
S000000313,S000000825,Cellular Component: 0.0494074443379
S000005394,S000004723,Cellular Component: 0.458155343793
S000003592,S000001019,Cellular Component: 0.120514463903
S000000327,S000003478,Cellular Component: 0.544101059604
S000002610,S000002344,Cellular Component: 0.177751831825
S000001117,S000004360,Cellular Component: 0.0110079433499
S000002510,S000000112,Cellular Component: 0.50304963712
S000003827,S000001742,Cellular Component: 0.120514463903
S000003241,S000005854,Cellular Component: 0.140000142268
S000004769,S000000421,Cellular Component: 0.874544633779
S000003148,S000006389,Cellular Component: 0.874544633779
S000002610,S000000331,Cellular Component: 0.177751831825
S000002849,S000004484,Cellular Component: 0.0494074443379
S000000146,S000004810,Cellular Component: 0.374618555071
S000000397,S000000763,Cellular Component: 0.177751831825
S000002796,S000004134,Cellular Component: 0.0494074443379
S000005686,S000003351,Cellular Component: 0.120514463903
S000000137,S000003367,Cellular Component: 0.88810302259
S000005180,S000005666,Cellular Component: 0.198129646975
S000004205,S000004378,Cellular Component: 0.0494074443379
S000001924,S000005105,Cellular Component: 0.120514463903
S000002309,S000005095,Cellular Component: 0.708405382507
S000003394,S000000967,Cellular Component: 0.742127948698
S000005404,S000005158,Cellular Component: 0.627943635278
S000003390,S000000122,Cellular Component: 0.332039892523
S000004061,S000002223,Cellular Component: 0.103073685425
S000004296,S000005573,Cellular Component: 0.324711098835
S000002979,S000000896,Cellular Component: 0.88810302259
S000000019,S000000870,Cellular Component: 0.813478996236
S000002324,S000004970,Cellular Component: 0.544101059604
S000004685,S000004685,Cellular Component: 0.720816756543
S000000038,S000003550,Cellular Component: 0.120514463903
S000001115,S000001195,Cellular Component: 0.0216388305672
S000001266,S000001266,Cellular Component: 0.740289248408
S000006391,S000002299,Cellular Component: 0.767877356822
S000004306,S000001584,Cellular Component: 0.742127948698
S000000306,S000001208,Cellular Component: 0.133167230214
S000004339,S000000811,Cellular Component: 0.445925336942
S000000571,S000004370,Cellular Component: 0.053898417263
S000001241,S000004529,Cellular Component: 0.0494074443379
S000004327,S000004650,Cellular Component: 0.615527422615
S000004966,S000000680,Cellular Component: 0.367218759015
S000002794,S000002796,Cellular Component: 0.0453266958589
S000005880,S000001144,Cellular Component: 0.542385009244
S000001141,S000006227,Cellular Component: 0.808531813312
S000001501,S000004267,Cellular Component: 0.742127948698
S000002856,S000002800,Cellular Component: 0.820787237033
S000004931,S000003538,Cellular Component: 0.88810302259
S000004005,S000000462,Cellular Component: 0.905959147011
S000002304,S000002452,Cellular Component: 0.177751831825
S000003628,S000005882,Cellular Component: 0.120514463903
S000005882,S000005098,Cellular Component: 0.0110079433499
S000002520,S000000364,Cellular Component: 0.461173873606
S000002274,S000001551,Cellular Component: 0.615527422615
S000000119,S000002175,Cellular Component: 0.177751831825
S000000824,S000005495,Cellular Component: 0.681920006388
S000005255,S000001484,Cellular Component: 0.0494074443379
S000000041,S000001542,Cellular Component: 0.742127948698
S000003584,S000004360,Cellular Component: 0.053898417263
S000001195,S000004925,Cellular Component: 0.120514463903
S000006139,S000004068,Cellular Component: 0.406819773489
S000003335,S000006220,Cellular Component: 0.619530009367
S000003909,S000001195,Cellular Component: 0.120514463903
S000001932,S000002525,Cellular Component: 0.742127948698
S000004137,S000003783,Cellular Component: 0.805905952253
S000003372,S000005939,Cellular Component: 0.557930540603
S000001083,S000006169,Cellular Component: 0.120514463903
S000006323,S000000364,Cellular Component: 0.498178535116
S000005590,S000000148,Cellular Component: 1.0
S000000335,S000005966,Cellular Component: 0.444154845732
S000004068,S000002646,Cellular Component: 0.374618555071
S000003090,S000002600,Cellular Component: 0.120514463903
S000004107,S000003361,Cellular Component: 0.816211210454
S000001710,S000002709,Cellular Component: 0.742127948698
S000003366,S000000404,Cellular Component: 0.0494074443379
S000005996,S000005143,Cellular Component: 0.445925336942
S000002538,S000002736,Cellular Component: 0.742127948698
S000000684,S000001855,Cellular Component: 0.754396874114
S000002688,S000003327,Cellular Component: 0.781419129943
S000000014,S000003158,Cellular Component: 0.933298517798
S000004845,S000000602,Cellular Component: 0.50304963712
S000004810,S000005632,Cellular Component: 0.374618555071
S000001943,S000003969,Cellular Component: 0.0494074443379
S000000961,S000002805,Cellular Component: 0.120514463903
S000004868,S000000478,Cellular Component: 0.120514463903
S000001578,S000005173,Cellular Component: 0.0216388305672
S000002803,S000004650,Cellular Component: 0.615527422615
S000000684,S000005810,Cellular Component: 0.0494074443379
S000000872,S000000872,Cellular Component: 0.841692953412
S000002736,S000002546,Cellular Component: 0.0494074443379
S000000689,S000005335,Cellular Component: 0.813478996236
S000003367,S000000896,Cellular Component: 0.88810302259
S000002309,S000001185,Cellular Component: 0.708405382507
S000000833,S000005207,Cellular Component: 0.374618555071
S000004362,S000002187,Cellular Component: 0.828085299132
S000003484,S000006102,Cellular Component: 0.344915594103
S000006391,S000002304,Cellular Component: 0.177751831825
S000005232,S000000689,Cellular Component: 0.813478996236
S000000814,S000005889,Cellular Component: 0.88810302259
S000000814,S000001628,Cellular Component: 0.877316236083
S000004117,S000000981,Cellular Component: 0.120514463903
S000001054,S000003589,Cellular Component: 0.949718173335
S000004652,S000005437,Cellular Component: 0.619530009367
S000005419,S000000813,Cellular Component: 0.0110079433499
S000002812,S000003676,Cellular Component: 0.767877356822
S000002624,S000003355,Cellular Component: 0.120514463903
S000001855,S000004329,Cellular Component: 0.754396874114
S000003310,S000004559,Cellular Component: 0.777787966782
S000004577,S000001103,Cellular Component: 0.0453266958589
S000005075,S000004181,Cellular Component: 0.251740322666
S000003432,S000001230,Cellular Component: 0.795391110485
S000004182,S000006245,Cellular Component: 0.177751831825
S000002918,S000002918,Cellular Component: 0.742127948698
S000000478,S000000148,Cellular Component: 0.120514463903
S000004970,S000000689,Cellular Component: 0.544101059604
S000000007,S000001046,Cellular Component: 0.412850838171
S000005816,S000002480,Cellular Component: 0.850948774476
S000002719,S000001586,Cellular Component: 0.053898417263
S000003168,S000001182,Cellular Component: 0.361812093451
S000000684,S000001442,Cellular Component: 0.754396874114
S000005231,S000000959,Cellular Component: 0.442411385981
S000000564,S000002865,Cellular Component: 0.332039892523
S000003180,S000004156,Cellular Component: 0.0494074443379
S000000810,S000004219,Cellular Component: 0.550544599466
S000001039,S000002856,Cellular Component: 0.053898417263
S000001733,S000006314,Cellular Component: 0.708405382507
S000004252,S000003332,Cellular Component: 0.0494074443379
S000005776,S000004267,Cellular Component: 0.714455862631
S000001208,S000001443,Cellular Component: 0.0216388305672
S000001855,S000003617,Cellular Component: 0.850948774476
S000003080,S000000735,Cellular Component: 0.120514463903
S000001932,S000001505,Cellular Component: 0.742127948698
S000006032,S000000813,Cellular Component: 0.0110079433499
S000003708,S000001802,Cellular Component: 0.053898417263
S000000935,S000002709,Cellular Component: 0.742127948698
S000004421,S000002187,Cellular Component: 0.828085299132
S000003811,S000003959,Cellular Component: 0.73705768716
S000003803,S000001551,Cellular Component: 0.615527422615
S000001889,S000005207,Cellular Component: 0.672362869996
S000000909,S000004650,Cellular Component: 0.933298517798
S000001947,S000002304,Cellular Component: 0.93424277975
S000004305,S000006061,Cellular Component: 0.0216388305672
S000000735,S000000824,Cellular Component: 0.120514463903
S000004449,S000000364,Cellular Component: 0.498178535116
S000001744,S000003324,Cellular Component: 0.103073685425
S000005057,S000005286,Cellular Component: 0.708405382507
S000002574,S000003329,Cellular Component: 0.578216685532
S000006307,S000003485,Cellular Component: 0.88810302259
S000004635,S000005215,Cellular Component: 0.529320462592
S000001742,S000003646,Cellular Component: 0.120514463903
S000001140,S000004016,Cellular Component: 0.374618555071
S000002721,S000004989,Cellular Component: 0.140000142268
S000002487,S000002235,Cellular Component: 0.777787966782
S000006434,S000000948,Cellular Component: 1.0
S000001917,S000005186,Cellular Component: 0.652332600561
S000004560,S000004814,Cellular Component: 1.0
S000000313,S000001283,Cellular Component: 0.186332604419
S000000514,S000001802,Cellular Component: 0.133167230214
S000000856,S000004478,Cellular Component: 0.0494074443379
S000004083,S000004138,Cellular Component: 0.520043483226
S000003367,S000005398,Cellular Component: 1.0
S000004699,S000002806,Cellular Component: 0.844644559606
S000003477,S000001756,Cellular Component: 0.198129646975
S000002736,S000000331,Cellular Component: 0.177751831825
S000001390,S000000973,Cellular Component: 0.344915594103
S000004424,S000001734,Cellular Component: 0.0494074443379
S000000254,S000000935,Cellular Component: 0.889363374653
S000005057,S000005750,Cellular Component: 0.742127948698
S000006113,S000004529,Cellular Component: 0.498178535116
S000004590,S000005057,Cellular Component: 0.177751831825
S000002802,S000000415,Cellular Component: 0.177751831825
S000006130,S000000360,Cellular Component: 1.0
S000001195,S000000834,Cellular Component: 0.0110079433499
S000002574,S000005160,Cellular Component: 0.198129646975
S000000595,S000002384,Cellular Component: 0.844644559606
S000000763,S000003016,Cellular Component: 0.714302557113
S000004769,S000006070,Cellular Component: 0.874544633779
S000004362,S000000438,Cellular Component: 0.828085299132
S000005531,S000003058,Cellular Component: 0.874544633779
S000006074,S000006074,Cellular Component: 0.120514463903
S000001886,S000002161,Cellular Component: 1.0
S000005736,S000005095,Cellular Component: 0.708405382507
S000003821,S000002726,Cellular Component: 0.523308369026
S000001948,S000002681,Cellular Component: 0.0216388305672
S000002309,S000006314,Cellular Component: 0.708405382507
S000004931,S000002979,Cellular Component: 1.0
S000002319,S000000741,Cellular Component: 0.691846122033
S000000688,S000005450,Cellular Component: 1.0
S000001111,S000000004,Cellular Component: 0.177751831825
S000000119,S000004264,Cellular Component: 0.863760822901
S000005507,S000005507,Cellular Component: 0.627943635278
S000005232,S000002851,Cellular Component: 0.544101059604
S000000689,S000000870,Cellular Component: 0.813478996236
S000006095,S000004908,Cellular Component: 0.969725607356
S000002166,S000001505,Cellular Component: 0.742127948698
S000002309,S000000358,Cellular Component: 0.708405382507
S000005939,S000002726,Cellular Component: 0.816211210454
S000005188,S000000283,Cellular Component: 0.813478996236
S000000493,S000005306,Cellular Component: 0.850948774476
