(nan, nan)
(1.0, 0.0)
(0.8682166870227559, 0.3305326253089198)
(0.9788842337729966, 0.021115766227003403)
(0.8236105255077344, 0.08653758136987517)
(0.712445124852736, 0.11214306843440336)
(0.7424607453664676, 0.05595704258616972)
(0.7567341171067239, 0.02974324136837432)
(0.7495037677903287, 0.020070383821749117)
(0.7634054589838836, 0.010187348792748243)
(0.7911745528543759, 0.003726263012891023)
(0.7759852544144435, 0.0030075422675170283)
(0.7446989996032548, 0.0034969907788588296)
(0.7165974465380839, 0.003930955967331255)
(0.7246357919848367, 0.0022440898773060493)
(0.7188547553427049, 0.001701940381986856)
(0.7244010901421299, 0.0010061547027252976)
(0.7226179583350211, 0.0007052214608900449)
(0.726112403793631, 0.0004316209283518127)
(0.7208196181370115, 0.00033628670918688146)
(0.7586570985496083, 6.712113666270338e-05)
(0.732975172090337, 0.00010438671696743886)
(0.738602144878936, 5.707177220013191e-05)
(0.7406551812602055, 3.489804009003831e-05)
(0.7024878966621937, 9.038394094998232e-05)
(0.6557632520373697, 0.0002759545900233656)
(0.6513273417925408, 0.00023347128983173382)
(0.6762918101535108, 7.795024347016612e-05)
(0.6718841815479082, 6.575052691526355e-05)
(0.650694245459171, 9.893602284371055e-05)
(0.6475099671391581, 8.235379027815599e-05)
(0.6467623153235325, 6.342065290511959e-05)
(0.660304140875938, 2.898243284372736e-05)
(0.6611717043394628, 2.0738410529871816e-05)
(0.6890111744846534, 4.72671982190754e-06)
(0.7131194106975948, 1.0571945128566584e-06)
(0.703937545803569, 1.168582329187647e-06)
(0.7007076952181266, 9.663247772679866e-07)
(0.7113042469274652, 3.865948461609856e-07)
(0.7125409009878195, 2.503354820358788e-07)
(0.7131694076700631, 1.6730818786697022e-07)
(0.7159366165044182, 9.824207160963514e-08)
(0.7321439739931188, 2.4148810944297776e-08)
(0.7349860286900364, 1.3404955512153243e-08)
(0.7442076213338132, 4.65010825776709e-09)
(0.7507172944878335, 1.87590511714454e-09)
(0.7603382161613161, 5.653138248497198e-10)
(0.7650903336692066, 2.4246592170423413e-10)
(0.7562335813107461, 3.311968981465434e-10)
(0.7660533618074122, 9.031747170978484e-11)
(0.7573850037679025, 1.2557660247163118e-10)
(0.765586190506343, 3.8227466095528495e-11)
(0.7692231525145181, 1.715317913440752e-11)
(0.7673310601698817, 1.308819549110451e-11)
(0.7727499962183297, 4.797862194373914e-12)
(0.7775035858195724, 1.822619890281026e-12)
(0.7831356001802013, 6.081526846339653e-13)
(0.7853214140911337, 2.913832758416361e-13)
(0.787086193617625, 1.4508359406147205e-13)
(0.7953174960318012, 3.199925637562408e-14)
(0.8036841245544941, 6.378017848110167e-15)
(0.8035714364262577, 3.823012598170868e-15)
(0.8069191999843525, 1.4083739570236747e-15)
(0.8064723920746487, 8.802968147433277e-16)
(0.8117804007515901, 2.3441320520390083e-16)
(0.8144718722033363, 8.956085741398264e-17)
(0.8166538804089152, 3.6414244494217994e-17)
(0.8183921940887582, 1.5688964323047473e-17)
(0.8187842152088467, 8.381199389395235e-18)
(0.8130399180503693, 1.2478515226033213e-17)
(0.8120305648114122, 8.530684844020322e-18)
(0.8154200957451855, 2.780501172539509e-18)
(0.817719794915057, 1.0684028696775597e-18)
(0.8178198573159889, 5.999508555064358e-19)
(0.8220643184192771, 1.5715409529608525e-19)
(0.8244058027834823, 5.694180181407878e-20)
(0.8286163348880821, 1.39804361013502e-20)
(0.8288141092013603, 7.470870496192955e-21)
(0.8291036651839564, 3.913777825976392e-21)
(0.8336817407503746, 8.268774259412434e-22)
(0.834972576831118, 3.4246464718787643e-22)
(0.830656399649574, 4.8116373240690695e-22)
(0.8291436532385847, 3.698080158916134e-22)
(0.8281242974062979, 2.5662789828883997e-22)
(0.8198123788425683, 8.484173746989381e-22)
(0.8205638712803742, 4.1194787413252152e-22)
(0.8219511829067849, 1.735659312323319e-22)
(0.8207751586433715, 1.2705429014512718e-22)
(0.8199270169488168, 8.69299821457801e-23)
(0.8191863713629569, 5.827941572542435e-23)
(0.8206789569259932, 2.3798176860557434e-23)
(0.8159826010636491, 3.8749735224418994e-23)
(0.8160651143988686, 2.187184591881447e-23)
(0.8096859340399029, 5.1708630545636253e-23)
(0.7886536743658096, 2.35306050400918e-21)
(0.7881523261478295, 1.5886184840897655e-21)
(0.7816933534962348, 3.438265411382724e-21)
(0.7819343708003252, 2.035721514014727e-21)
(0.781676917026445, 1.3279905988607393e-21)
(0.7866290984130004, 3.0487574043187814e-22)
(0.786490701441331, 1.9270279938007577e-22)
(0.7864178524486756, 1.2022973344493026e-22)
(0.7838057725353113, 1.2722317445833012e-22)
(0.7751337638271788, 4.606687353282119e-22)
(0.7752298344798225, 2.8410866298490104e-22)
(0.7798834161067846, 6.855725120677829e-23)
(0.7795919838088587, 4.540702140831524e-23)
(0.7798179094719596, 2.698148945328267e-23)
(0.7730464273143264, 6.991026420329946e-23)
(0.7688786286380304, 1.0440833202287406e-22)
(0.7605731200303373, 3.5592063534217798e-22)
(0.7608457850919373, 2.17845030395613e-22)
(0.7600033986268602, 1.6676302066582974e-22)
(0.764933756591994, 3.922134832578528e-23)
(0.7696260181352896, 9.298037979775556e-24)
(0.7702857670366158, 5.1231445924757554e-24)
(0.7703520611316625, 3.2060950731872974e-24)
(0.7748138522280512, 7.506550733444195e-25)
(0.776533030331953, 3.1871748552641186e-25)
(0.7775581261291165, 1.5754006829493398e-25)
(0.7792854243525794, 6.558825516833862e-26)
(0.7822834515547628, 1.985840430758633e-26)
(0.7847078697205389, 6.772997102510538e-27)
(0.78708254069051, 2.2984411669339005e-27)
(0.792460252261281, 3.4991933038421857e-28)
(0.7949240074122385, 1.1005697873462942e-28)
(0.7941227854573178, 8.26087242014817e-29)
(0.7959639290416363, 3.0223585857671674e-29)
(0.797252425899675, 1.2736184147849564e-29)
(0.7982299799254939, 5.812945808167764e-30)
(0.7937896728611918, 1.2174676195016735e-29)
(0.7914940963935327, 1.397777325523583e-29)
(0.7949207431800223, 3.244209562307617e-30)
(0.795091596159698, 1.8672767306583538e-30)
(0.7896402380173736, 5.318464281736795e-30)
(0.7921702300290979, 1.5838479841848904e-30)
(0.7916929952744044, 1.1049648778392746e-30)
(0.7912472856862655, 7.65177193254436e-31)
(0.7939468573482248, 2.1121082354295616e-31)
(0.7955202569899192, 7.994332463529991e-32)
(0.7953386275609188, 5.099117212642831e-32)
(0.7974404302017053, 1.6187406374054578e-32)
(0.799532850792641, 5.068012451254805e-33)
(0.7995097077022738, 3.0556032028447683e-33)
(0.7990752545680918, 2.099725910735921e-33)
(0.8003442994179849, 8.374494484339259e-34)
(0.8001036859372712, 5.409199346700502e-34)
(0.7999108029584862, 3.443416754622929e-34)
(0.8009411542780422, 1.4678507845380441e-34)
(0.7966168231091518, 3.6156855688163512e-34)
(0.7953769033412915, 3.2591694545153134e-34)
(0.7970340601880086, 1.1442704963429662e-34)
(0.7971156428997213, 6.70430156692425e-35)
(0.7983396868811765, 2.67873992116565e-35)
(0.7994446460370193, 1.1054615200602713e-35)
(0.8007476547037546, 4.230286394190896e-36)
(0.7967463422200354, 9.974122813723224e-36)
(0.7976652580619412, 4.3861934562522984e-36)
(0.7983593338272443, 2.073698549456831e-36)
(0.7993102892278632, 8.923811799317297e-37)
(0.7991940488810414, 5.56971661916978e-37)
(0.7998046357617908, 2.6857828809895132e-37)
(0.7997849231868043, 1.6186049181028806e-37)
(0.8007485891889263, 6.835340233570492e-38)
(0.8021037307388844, 2.484391416966395e-38)
(0.8008837556999846, 2.319586227537533e-38)
(0.8014087565058372, 1.1401690524251166e-38)
(0.8017845616822321, 5.908779024791661e-39)
(0.8016422677868986, 3.714164074395482e-39)
(0.7997865553702478, 4.448706221540377e-39)
(0.8010051018500776, 1.6806155589658735e-39)
(0.8013902589066475, 8.660590684550933e-40)
(0.8011599043222862, 5.642948834216138e-40)
(0.8018757289300567, 2.552930548219839e-40)
(0.8006858636031216, 2.4147807704508753e-40)
(0.7969767461183018, 6.023746579354908e-40)
(0.7978495397328569, 2.593859994022876e-40)
(0.7993663484490169, 8.639922215572676e-41)
(0.8011881512417094, 2.5198883155350593e-41)
(0.8030788010217162, 7.036916583536573e-42)
(0.8028636728009407, 4.562959791772806e-42)
(0.8023033753463412, 3.4079596804041424e-42)
(0.8032067990083407, 1.4009153200153497e-42)
(0.8022596869789704, 1.2295347208298246e-42)
(0.8045118003149768, 2.8692179204867163e-43)
(0.8070140033560367, 5.883713538213522e-44)
(0.8081116909389974, 2.1597044048986618e-44)
(0.8087746024354829, 9.507173498589983e-45)
(0.8104300057023145, 2.688935693351367e-45)
(0.8086007726709346, 3.531338822955738e-45)
(0.8093306003753634, 1.499055998468997e-45)
(0.8086875587828477, 1.1699436181906682e-45)
(0.8088718978259128, 6.3202516614167656e-46)
(0.8092623346122788, 3.108216612301515e-46)
(0.8092002526541392, 1.8732445012219675e-46)
(0.809790479421248, 8.383486451681584e-47)
(0.8114259781766529, 2.3039342600546835e-47)
(0.8135379839822419, 4.9800732041118464e-48)
(0.8131509332627483, 3.4711648482199815e-48)
(0.8124477374680096, 2.81542932456518e-48)
(0.8138884347978547, 8.213156439076848e-49)
(0.8148212340628905, 3.0286006670938736e-49)
(0.8160022207746012, 9.815299644364902e-50)
(0.8172336896541245, 3.071337678230023e-50)
(0.8171344794296512, 1.8555964406824937e-50)
(0.8173969890589925, 9.349923821580282e-51)
(0.8193715497392581, 1.9658753321046224e-51)
