(nan, nan)
(1.0, 0.0)
(0.49960865345517896, 0.6669543100363114)
(0.6500375146786965, 0.34996248532130353)
(0.6680314290492677, 0.21780791696487117)
(0.6693173759056527, 0.14594625935408162)
(0.7348458571284071, 0.05991671075113639)
(0.6900837053473637, 0.05819200633279951)
(0.8061376841617095, 0.008688430323215642)
(0.6531528422536967, 0.04058427143311852)
(0.6405311637830687, 0.03373451002445055)
(0.48591987307987744, 0.10923361119861327)
(0.497729612691777, 0.08348458219608698)
(0.5300955486500302, 0.05119507092881001)
(0.5679011893755304, 0.027213750834567386)
(0.5988568815501629, 0.014238978256509854)
(0.606700054869655, 0.009814935274791338)
(0.6665378877362189, 0.002521518446866967)
(0.6343130327690604, 0.003535245667454979)
(0.5146844948862478, 0.020232359708583537)
(0.5459876636516223, 0.0104531230545417)
(0.5597847691072172, 0.006746773612368764)
(0.5917341803009954, 0.002937164493146143)
(0.55256502339489, 0.005109086695915648)
(0.5597764889410093, 0.003617695310461454)
(0.5582229392883242, 0.0030408935320610955)
(0.5614165662256569, 0.0023118001254529143)
(0.6000569418182968, 0.000737013228145629)
(0.6049923899758809, 0.000507568925393433)
(0.616932434863036, 0.00028226459470138737)
(0.629117689424377, 0.00015002003494274878)
(0.6298704289175671, 0.00011204317208256891)
(0.6300783325474518, 8.513524156554685e-05)
(0.6243719908940601, 7.93302326820146e-05)
(0.617402858060811, 7.784923443385793e-05)
(0.6126180094824891, 7.144463498979172e-05)
(0.6125060598316716, 5.5949307971260956e-05)
(0.610822194684358, 4.643690208437865e-05)
(0.6138887348324035, 3.2344892785468317e-05)
(0.5786590650153803, 9.17935976052796e-05)
(0.5797360878019518, 7.120836506510869e-05)
(0.589877320195025, 3.938463258945751e-05)
(0.5895519720928141, 3.184191427788654e-05)
(0.5894469805250305, 2.5542198914818082e-05)
(0.5875192752422168, 2.2056774225539925e-05)
(0.5775326749824449, 2.6419356095408103e-05)
(0.5772490024505498, 2.159302861704958e-05)
(0.5770918034586887, 1.756852388940753e-05)
(0.5770392666728545, 1.4237826710328368e-05)
(0.5902610624577831, 6.433300316700165e-06)
(0.5917206318598794, 4.809350014896004e-06)
(0.5892262163206607, 4.317005919100734e-06)
(0.5922436198105028, 2.9917203275437234e-06)
(0.5905933299434889, 2.589365888866734e-06)
(0.5694951340611705, 5.69054537300487e-06)
(0.5709383972065865, 4.3317053651267325e-06)
